userName,score,content
A Google user,5,"Para aperfeiçoamento no ramo de Java Scrip, HTML, entre outros é fenomenal."
A Google user,5,"Have been willing to learn and developed my skills on coding, it's such a opportunity having an application like this it makes learning so easy. I want to say thank you to the builder"
A Google user,5,it is a very good app though u should make notes with it
A Google user,5,great
A Google user,1,with the free subscription they won't even teach you the bare minimum requires
A Google user,5,it's the best
A Google user,5,Literally gave me a starting point. Still use it today for fun
A Google user,5,it's awesome
A Google user,5,| Love it 😀
A Google user,4,other then having to subscribe and unsubscribe from the pro version it's pretty decent
A Google user,5,absolutely Fantastic
A Google user,4,good app for learning
A Google user,5,I love your work
A Google user,5,"Learning to code from the basics , it became simple with this app. Thanks to developers."
A Google user,5,Mimo app is more useful to learn programming languages in an easy way and easy to develop our programming knowledge ✨💯💯
A Google user,5,i love mimo. it's a great way to augment and reinforce lessons from coding classes. the only downside is that the web browser bars version of the app is difficult to use and limited in function.
A Google user,5,"This is a great app! It has easy language, its design is attractive and it makes learning coding like a game!👍👍"
A Google user,5,"This is the best app to learn coding.......😊 It teach programming languages like a fun games......😁 This gives certificate for the languages.....🥰 And many languages are taught in this app whatever it is like JAVA , HTML , CSS , REACT...ETC... It is used also to make own portfolio...... I suggest you to programm by using this app.....👍🏻"
A Google user,4,good
A Google user,5,"I'm a total beginner, and I feel understood in the way the lessons progress, it becomes so easy to navigate and understand how it programming and coding really works. Amazing app definite recommend."
A Google user,5,"I love this app! as a person with ADHD who tends to lose motivation, mimo makes the learning process fun! by repeating questions I can answer I feel more accomplishment and energy to want to do more!"
A Google user,5,amazing learner
A Google user,5,good
A Google user,5,mimo app is best code learning application
A Google user,5,"Great for learning how to code in your downtime. Easy to understand, and Mimo breaks down the content in small bytes that add up to gigs of knowledge."
A Google user,5,very good and good appearance
A Google user,3,I am facing problem logging the account in my laptop. I am able to login but I don't see it being upgraded to Pro. Can someone help?
A Google user,4,It is designed like a game..... easy to understand... the codes are amazingly easy to understand.... very good for beginners
A Google user,5,very easy to navigate so far
A Google user,5,This coding app is super good. I had a practical exam in Computers in my school about HTML. Before the chapter even started i started learning HTML from here. I got the most marks in computers just because of this app. Very recommended!
A Google user,5,i enjoy this app since i can learn coding using my phone
A Google user,5,I'm enjoying this so far.
A Google user,3,great app
A Google user,1,"The first time I played, I noticed how the game was delayed in refreshing my progress. I got used to it and made it to the 3rd level. I opened it up the next day and it had not saved my progress, which is a dealbreaker."
A Google user,5,"es muy buena, explica conceptos basicos y avanzados de una forma sencilla"
A Google user,4,May make tasks faster
A Google user,5,easy to learn but can't afford vip
A Google user,3,doesn't give enough details of what things mean. Very confusing to understand what I'm doing.
A Google user,5,i like the app more than you think cause now I am what I have never imagined thanks for all I got keep it up
A Google user,5,Easy understandable app
A Google user,5,Great for learners that need to be easily taught.
A Google user,4,it's good app
A Google user,5,I love this app. I just started today but I have already learned something plus I just got to chapter 3 😄😄😄😄😀😀😀😊😊😍🥰😁😀
A Google user,5,the best
A Google user,5,very good one for studying
A Google user,5,made me a new person
A Google user,4,I think it's quiet useful for beginners like us. I suggest to just try.
A Google user,5,it's very nice and very useful for me 😊😊
A Google user,4,"Its a good appo to progress with any programming language. But it is not organised properly, and still requires a lot of bug fixing. For example, while learning something we often get skipped from step1 to step4. As a result we don't know whats in between (step2&step3). This leads to a confusion."
A Google user,4,Just started
A Google user,5,it's nice for beginners to learn python. I suggest everyone to use this app. I like it ☺️.
A Google user,3,it is very useful app and it has noporblem
A Google user,5,This 1st session has been enjoyable.
A Google user,4,"Mimo is great for learning code, but what I don't like is you have to spend coins just to get hearts back. So if you get 5 questions wrong you have to spend coins and if your out. Your done for the amount of hours until it gives you more hearts. Overall it's a pretty good app for beginners."
A Google user,5,"Please add courses related to finance power Bi and Excel, etc Otherwise, it's a great app for learning coding"
A Google user,5,It's a super easy app to learn new programming languages
A Google user,5,Great app
A Google user,4,good for beginners who want to learn coding genuinely
A Google user,5,this app is very good 👍 I just started using it but it the best
A Google user,4,I love this app but it annoys me when it doesn't save progress when connection has issues
A Google user,5,"great tool to start, very simple and easy to understand"
A Google user,5,nice apps
A Google user,5,good stuff
A Google user,5,ferry 👍
A Google user,5,"Highly recommend this app, as it taught me a lot about programming and I was able to be ahead of CAT class this year with HTML. Thank you Mimo"
A Google user,5,this app teaches you coding in the simplest way to understand.
A Google user,4,wow Mimi is a great app for an idea person to learn HTML fast.
A Google user,5,best learning app it's like duolingo it supports us when we get wrong in the questions it's the best coding app I've ever seen
A Google user,5,this app increases your skills
A Google user,5,It's such an amazing app to learn a coding thank you so much developer's 🙏 be continue and add other programming languages
A Google user,5,I love it
A Google user,5,this is a great learning app
A Google user,3,slow
A Google user,1,"There is no message option to talk to my friends on my Mimo account, Please add a messaging option to this app."
A Google user,5,It is a great app that makes coding effortlessly easy to learn 👌
A Google user,5,it's good mimo app nice 👍🙂
A Google user,5,Great 👍🏻
A Google user,5,good and simple
A Google user,5,"I like it! Mimo does a great job at explaining the terms and functions in a simple, concise but very effective manner. I hope to build my website soon with what I'm learning!"
A Google user,4,great 👍
A Google user,5,Like Duolingo but better and coding!
A Google user,5,great app
A Google user,5,helping me in coding
A Google user,4,fair enough
A Google user,1,"app is good, but it doesn't sync well on desktop and they don't respond to support emails"
A Google user,5,it's very easy too understand and real! plus it not so bad tons of fun for all ages! Way to go guys you hit this one a home run; even grand slam!
A Google user,4,nice
A Google user,5,This app help me to know more ideas about coding and correct selection of the properties.
A Google user,3,its so good
A Google user,5,gorgeous 💯👌
A Google user,5,best app for a newly introduced character to coding
A Google user,5,verii gud
A Google user,5,"very easy to learn, fully recommend"
A Google user,4,Pretty neat and organized.
A Google user,5,the best app
A Google user,5,I love it
A Google user,5,I have been showing interest to learn coding lately. I feel like for any person that is new to computer languages this is a great place to start your journey. the app provides you with a great friendly topics. great app I say
A Google user,5,I like this app
A Google user,5,this is quite helpful
A Google user,5,super easy to understand and follow
A Google user,5,This is a very good good good 😊👍👍👍👍 app for lerning pograming like this app download this app
A Google user,3,understandable
A Google user,5,it's a really great app to learn coding it's like duolingo it's helpful and really encouraging
A Google user,3,the logo is so cute
A Google user,4,"Great app to learn coding html, and but too expensive the pro"
A Google user,5,This is the best coding app i have ever used. Very less ads. More knowledge. This is worth it!
A Google user,2,It requires hearts to continue progress or we need to buy the subscription. This restricts and makes you lose interest in the course.
A Google user,5,Great 👌 lessons
A Google user,2,the try max for free is not clickable
A Google user,5,WOW I'm 38 and have never coded in my life! I feel very confident that I will be coding within a month or less!
A Google user,5,love how it's free and I'm okay to watch an add or two plus it has the perfect amount of lives and doesn't. move too fast
A Google user,5,it kind of nice
A Google user,5,superb
A Google user,3,"Makes the learning process a hands-on experience, ensuring you practice to retain as you learn."
A Google user,5,This app is very helpful
A Google user,4,The app is funny and excited 😆 please add flutter frame work And dart Programming Language
A Google user,5,I'm currently learning coding through college but this is useful in my spare time and when I'm away from my computer
A Google user,5,"Interactive, insightful and engaging."
A Google user,5,Lovely! Great tool for beginners 💗
A Google user,5,it is an very helpful app for learning basic coding
A Google user,2,"Fica calculando sparks por bastante tempo, depois da erro e tenho que refazer o mesmo exercício"
A Google user,5,best app
A Google user,5,really help on understanding basic concept of coding
A Google user,5,for beginners who doesn't know anything about coding it is good
A Google user,1,In Iran we can't use it.
A Google user,4,very good app for learning
A Google user,5,it's fun and easy
A Google user,5,"need code, eat code, dream code, love code"
A Google user,1,It's just one long ad.
A Google user,1,"I want to opt out from a leader board - if you add this feature - I'll give you 5 star. Also it's not possible to change email address of your account. Competition is a thief of joy. I'm also perfectionist. If I'm competing I want to be number 1, always. Bronze medal or silver medal is a humiliation for me. I want to learn at my own pace. When I do tasks a little harder, I'm accidentally shooting up on the leader board. I don't want to compete"
A Google user,3,"Previously I was using the app to learn Front End and it was great, but now I redownloaded to learn Python and have no way to find any button to change the path, it only allows me to continue with the front end path. Please fix it otherwise it's not useful for me anymore."
A Google user,5,its great way to learn with fun.... prefer mimo now instead of instgram
A Google user,4,good to beginners.
A Google user,4,it's so beneficial
A Google user,5,very good 👍
A Google user,5,Good
A Google user,5,this app is very good for beginners to learn python fast
A Google user,5,"very nice app, I love it 😍💖"
A Google user,5,so far so good
A Google user,5,V good
A Google user,5,It is very easy to use and comprehend. I am happy with my experience so far
A Google user,5,à real experience and a half
A Google user,5,It's really useful for learning
A Google user,5,"this is the second code learning app I've downloaded and now I'm kicking myself for paying for the first one. Similar feel of ease to Duolingo , simple, and I'm loving the free trial. amazing so far!"
A Google user,5,Great App for learning and very helpful.
A Google user,5,This Is the best app
A Google user,5,I think this is fun and creative and ez way to learn code
A Google user,5,"I got a degree in this a while ago but haven't been practicing enough... this is great as a reminder, and super simple to start. I haven't paid into it at all yet"
A Google user,1,Great way to learn. Really helpful to have a place where you can practice and experiment with the coding you've learnt in the lessons.
A Google user,5,❤️
A Google user,5,"Two words, ""best app""🤯🤯🤯"
A Google user,5,This is a great learn along app.
A Google user,5,"pretty good. I'm taking cybersecurity, and it's great practice"
A Google user,4,it's cute and useful 😌
A Google user,5,Great app
A Google user,5,coding is fun
A Google user,4,very good app to learn coding
A Google user,5,best app( ˘ ³˘)♥
A Google user,5,"Perfection 🥶🥶🥰 Ok for my practical exam you helped me, and now I'm learning python for making games but I should learn java for another practical 🙃. Thanks that I found this app, god bless you all !✅"
A Google user,5,it's a good app for coding
A Google user,5,the most lovely learning application ever
A Google user,5,Great to learn new skills training and development
A Google user,5,it's educative
A Google user,5,very helpful and fun...I love it🥹💓
A Google user,5,"It is a very good app for coding . It lets you select what you like or what you want to do after so many choices , it suggest you which course is best for you accordingly to your interest. There are literally so many options you can go for. Just an amazing app. You can also choose the other courses if yours is complete ✅ and give you a amazing certificate to make your resume more powerful."
A Google user,5,FROM THE FIRST DAY I STARTED USING IT FOR LIKE 30 MIN/EACH DAY AND NOW I AM PROGRESSING AT A FAST PACE. THE BEST THING ABOUT THIS APP IS THAT WE CAN CHECK OUR PROGRESS AND EXPLORE THE CODING WE ALREADY DID. BTW IT WOULD BE MORE GOOD IF THERE WAS NO HEART SYSTEM WHICH LETS YOU DO MISTAKE ONLY 5 TIMES AND THEN FORCES YOU TO TAKE A BREAK. :)
A Google user,3,"Lost interest before the second lesson. May be great, but it's boring."
A Google user,5,Awesome! Easy to understand and there's practice right after. Love it!
A Google user,1,February 2024: The the streak lossbug is still present November 2024: This bug is still present. There's no proper support. There's a percisting bug where the daily streak is added but then ot is not properly registered into the database. I lost 250 days streak because of this and I'm not coming back! This is a developer training app full of bugs for petes sake! And don't you mention streak repair once a month when the bug happens two days in a row! I want my money back but there's no support.
A Google user,5,it's very amazing 🤩...
A Google user,5,great app to learn code!
A Google user,5,Very great!
A Google user,4,good
A Google user,5,One of my favorite learning methods I've ever found ever!!! It's like duolingo but for learning programming.
A Google user,5,it's very useful and working so simple to practice any computer language .
A Google user,3,I am still studying but it's amazing
A Google user,4,user friendly and educative
A Google user,5,"This app makes learning code understandable and fun. So far, so good."
A Google user,4,"This is a wonderful app for learning and practicing coding. It will be helpful if you add some other programming languages like java , c++, swift etc and also add some more new features in regarding practice problems and filling the hearts."
A Google user,5,"If there were more stars to rate this app, I'd add them all. Exceptional learning tool. ❤️"
A Google user,5,A great learning tool.
A Google user,5,It's the best app I can find for coding. And it's amazing y'all should try it
A Google user,5,"Great app 👌, it makes it easy to understand the concepts."
A Google user,5,"I had a good experience. It's easy to use, learn and understand concepts"
A Google user,5,"haven't actually used it yet, it, in a real easy, simple way,(and I'm a big dummy when it comes to this computer type of stuff LOL) teaches you how to use it , by teaching you variables etc. etc. I may change my stars when I get into the app and actually use it but so far so good and I hope I don't have to"
A Google user,5,it is nice app
A Google user,5,Best app ever
A Google user,5,The app's theme and presentation is so cool and it seems that the developers of this app are well experienced. They know how can the things looks easy for beginners. That's great!
A Google user,5,excellent
A Google user,5,"this is quite engagement and fun to learn with, lots of love mimo team , U guys did wonders , is so easy to understand"
A Google user,4,You guys should consider giving pionts for a reviewed lesson... Also I didn't get my free mimo pro after I invited someone...
A Google user,5,we learn a lot of things in this application
A Google user,5,good
A Google user,5,"I'm learning python on it and it's truly good and easy to understand ,if your a bignner just like then this app is perfect for you"
A Google user,5,very interesting to learn with
A Google user,1,"Mimo is a great tool for absolute beginners. I downloaded it for the clear roadmap (as advertised), but I was disappointed when I ended up with only basic lessons even though I selected that I knew a lot, yet the app forced me to start from scratch. Perhaps, a diagnostic test to place users at the right level would be very helpful."
A Google user,5,I am learning a lot from this app....I definitely recommend it for anyone who wants to do coding(currently I'm learning Python)
A Google user,5,veryy nice
A Google user,5,This is great. The way the lessons are setup is fantastic. How I wish I had known this app for long. And thank you for making it free.
A Google user,4,good app
A Google user,5,Very interesting and easy to learn love it
A Google user,5,love it so far. I am just learning the basics for now.
A Google user,5,This is very very nice platform for learn cording infact you car try by mat site
A Google user,4,Want to improve GUI
A Google user,5,Awesome app for learning to code on the go!
A Google user,5,No ads its just teach you and nothing else in between
A Google user,5,"So far, I like this App. Helping me to learn coding in easy way and also fun."
A Google user,1,It's too difficult to learn. Like actually.
A Google user,4,User friendly and very helpful in learning how to code
A Google user,5,great application it teaches of coding things for free I thank you for such an app
A Google user,5,best learning app
A Google user,5,"Very, very great app. Try it out, u will never regret it ✌️😉😁😁😁🥰"
A Google user,5,"Really helpful app. I'm loving it, keep up the good work"
A Google user,5,Great app and totally free best for beginners and very well explained
A Google user,1,"I promise I will give it a try, but the format makes it REALLY hard to get motivated. I don't want Duo Lingo style fill in the blank. It requires no effort or thought, and teachers nothing."
A Google user,5,I'm having a blast on this
A Google user,5,I really love this app
A Google user,4,"I don't like the color of python code in practice, the previous one were better and helpful the track the code syntax,"
A Google user,3,it's good but for fun of course
A Google user,5,very nice app
A Google user,5,Nice app
A Google user,5,"am just happy and overwhelming, this app just give me hope and courage to continue my coding practice. God bless you guys."
A Google user,3,"I actually really like this app! I learn quickly, it's addicting and fun! However, I wish they changed some stuff in the mobile app, specifically the code editor. If I hold in the ""delete"" key on my phone-keyboard in their code editor, it will suddenly hop to the top of the file after 3-15 letters have been deleted. This drives me insane!! I also wish I could have the option to tap on a certain location in the code without selecting a block of code, because it makes it so hard to code on mobile."
A Google user,5,"Good platform for Beginners like myself, to learn from scratch 👍. Highly recommend"
A Google user,4,"good,🤩🙈 i can't deny it"
A Google user,5,so far this simple and fun to use
A Google user,5,I usually don't write reviews but this is the best application i have came across so far. It's easy to learn from basics to adavanced.
A Google user,5,learning well and i am loving the simplifying
A Google user,5,its an app that is helpful for begginers specially if your new to coding. I definitely 100% recommend this if you want to learn coding. hope it helps..
A Google user,5,I'm enjoying learning with Mimo App
A Google user,5,good app
A Google user,4,usefull
A Google user,5,"Mimo helps me to learn coding. It teaches us in a smooth way. There is also a leaderboard which helps me to compete against others. It teaches like Duolingo. There are many levels and by completing those levels, I am learning coding day by day."
A Google user,5,In each course It provides bite sized lessons that are reinforced by micro tests for the content. I've only used it for about 30 minutes but I have a good understanding on HTML. I believe my existing experience in python and UE5 blueprints make it easier to understand the coding concepts now and in the future.
A Google user,5,"ads suck but they're only 10 seconds, this app is teaching me better than my college professor"
A Google user,4,great 👍
A Google user,3,"Gotta dock this at least 2 stars if only because they don't have the text input figured out yet. Constantly have to go back and re-enter code because it errors. Hitting 'space' either doesn't work, or it replaces the last character with a period. Or mid-typing the cursor will randomly go back to the beginning and start typing in front of code you already entered. I wouldn't pay for this app until they get that fixed. Too disruptive to the lessons to justify paying for it."
A Google user,4,"I wìll never regret downloading this app, I mean it's enjoyable beyond learning."
A Google user,5,"it gives amazing questions, you should try it."
A Google user,1,It kept glitching in the middle of my animation
A Google user,5,very cool 😎
A Google user,5,it's very good 👍👍 app really
A Google user,5,"Learning is easy, knowledge is easier to digest"
A Google user,5,good app
A Google user,5,"Great app, learning a lot."
A Google user,5,great 👍😸
A Google user,5,very good app
A Google user,5,interesting app
A Google user,5,i can learn new things everyday
A Google user,5,Best
A Google user,5,great 👍
A Google user,5,Very great. Easy approach to efficient learning. A must check out for sure.
A Google user,5,love this app💋💋💋💋💋 educational app in basic to high level:>
A Google user,4,So amazing coding app 😄.I really enjoyed using this mimo coding app and this app is designed exactly like a game. This is a very fun app.With this app anyone can learn coding easily and in a playful way.
A Google user,5,Very very good and easy to learn.
A Google user,4,Amazing! but after one week not work it backup refuse to open!
A Google user,5,"Очень полезное приложение, подойдёт тем, у кого нету ПК или хочет подтянуть знаю где в общественном транспорте например."
A Google user,5,not what I was expecting. and I mean this in a good way. it exceeded my expectations by slot
A Google user,4,it's good
A Google user,1,very helpful
A Google user,5,"very good, it makes learning codes way easier and it also makes learning coding a minigame. its the definition of Duolingo version of Coding. im so glad this app existed, thank you!"
A Google user,5,mimo is so fun i really like mimo 🥹🫶🏻 i'm starting learning about fullstack dev here. can't wait to explore more of programming languages
A Google user,5,awesome 👌
A Google user,5,it teaches how to code so well and it also gives question about the lessons mimo has taught
A Google user,3,"i cant use the web anymore and i cant contact support for this, i have an active subscription and its telling me to subscribe again just to use it on the web. why?"
A Google user,5,It teaches you to step-by-step.It helps you correct your mistakes So I recommend this for all coders.And Soon to Be coders
A Google user,5,It's certainly the best I've seen....it has practical section where you will implement what you've just been taught... I love this app but I pray it doesn't stop me half way or somewhere very important cos I want to learn till the end of my course. Thank you Mimo
A Google user,5,"I'm having a good time learning with Mimo, it is very useful to briefly have lessons when you don't have too much time!!"
A Google user,5,"This app is incredible for beginners. But if Mimo learn team is looking at this, ONE REQUEST, it would be nice to add C++, C, and C# as their needed for my academics"
A Google user,5,good for learning but i invitated but count not increased pro version not come to me 🥴 take an any action
A Google user,5,This app is the best for learning coding and decoding program web program and all
A Google user,5,mimo is the perfect way to start your coding journey with the basics
A Google user,5,nice app for learning coding
A Google user,4,it was so aligned app to know about any programing language
A Google user,5,Easy to use. Easy to learn. Explain mistakes without payment required. Recommended.
A Google user,5,"great app, you get discounts once you create you account. but I still think it's too expensive."
A Google user,5,it taught my dumbass how to code
A Google user,5,I'm learning a lot
A Google user,4,Mimo Mimo Mimo wow...nice one 💯💯this app is very good when it comes about teaching of code take it or leave it it's good at that💯
A Google user,5,this the best application to learn about coding and it provides all the needed to accomplish you learning
A Google user,3,Sir please hindi language add kar do kyuki english me samjhne me thoda dikkat ho rahi hai....
A Google user,1,"What type of app is this, that went on to deduct your money even after stopping the trial before the due date. And the most painful part is that even afterward you can't even access the app"
A Google user,5,it's kinda fun I like it
A Google user,4,gold
A Google user,5,"Fun way to learn coding. Honestly, the user interface is smooth and clean."
A Google user,5,Great for new learners and also great for a refresher
A Google user,5,great
A Google user,4,It's actually not a scam as I thought at first when I saw it in TikTok. It's pretty fun too and you actually learn stuff. It's basically Duolingo but for coding. If you're interested in coding then you should definitely try it out.
A Google user,3,"I just wanted to learn some javascript, but it forced me to do basic html and css stuff (the fullstack route), which I already know and breezed through. After completing the basics, it wont let me continue without paying for a pro account. My learning has stopped. I will have to go to another app to learn. The learning was ok. It was very gamified, but don't know how much would be retained from it. I even gave them my email thinking i could continue, but nope. I will be uninstalling."
A Google user,5,Nothing I just like it. It helps me alot even I'm a beginner :)
A Google user,5,Fun.
A Google user,5,outstanding 🔥🔥🔥
A Google user,4,Absolutely Outstanding
A Google user,5,perfect
A Google user,4,its fun and good
A Google user,5,Amazing site to learn coding for a job or just have fun!
A Google user,5,"teaching methods are genuinely good, beginner friendly."
A Google user,4,"It's a nice app but the level of test questions is quite low and kind of like repeating the similar questions also there should be and option to skip the levels. One more issue is I cannot find support button in the app, if I have a doubt or find out some error nothing there to report to. Like in one of the example project ""unit converter"" there is a mistake in result statement. But where to address it."
A Google user,5,"Great app to learn to code, the ads are short."
A Google user,4,Nice App But I think they should add a little more language to it and they charge a premium for everything
A Google user,5,easy to use!
A Google user,1,"Felt like I wasn't learning anything, just like the bad language learning apps I'll just get a book... And maybe an audio book while driving"
A Google user,3,it's good so far
A Google user,5,loved it. very eazy for beginner . eazy to understand
A Google user,5,FANTASTIC!!!!
A Google user,2,it has low hearts
A Google user,5,This is a very simple and easy way to learn coding. Be part of it.
A Google user,5,l like this
A Google user,5,Straightforward to use and builds incrementally. Similar to Duolingo so it's a familiar format.
A Google user,5,God love
A Google user,5,paravala reels pakumbothu vanthuchu ana puthusa onu kathukitten
A Google user,5,It's a great app for learning coding
A Google user,5,It's a very good app to learn coding. I enjoy this app so much.
A Google user,5,It's awsome
A Google user,5,the best
A Google user,5,please give option to restart the course
A Google user,5,I think this is the one of the best way to learning coding.
A Google user,5,awesome
A Google user,4,👍
A Google user,4,it Is a premium app
A Google user,5,A very nice app 👌 just that you have to use a heart to revise pass topics. Wish the developers can adjust that so that you don't even need hearts to access or revise pass topics.
A Google user,3,👌
A Google user,5,It is fabulous 👌
A Google user,4,"This app is amazing but you should definitely make a writing box where we can write codes by ourselves while we are learning a lesson. You put already written codes and we just gotta click on them but you should add more writing box. Well , I admire the app."
A Google user,4,it's a good device to learn
A Google user,4,very good explaining how zip code in the beginning
A Google user,4,"The app has been a great way to learn python, the concepts are properly broken down and explained, I am however unable to access the web learning platform using the urls provided in the emails. I hope this can be looked into."
A Google user,4,nice
A Google user,5,so good
A Google user,5,"it's cool for the basics, sololearn's more detailed"
A Google user,5,easy to use and it does actually feel like you are learning it's great so far
A Google user,4,good
A Google user,5,"very ideal and versatile. you can learn coding anywhere, anytime!"
A Google user,5,"Im having so much fun learning from mimo, very beginner friendly and easy to use."
A Google user,5,nice
A Google user,5,its very good learning
A Google user,5,"easy,simple,accurate and the lil jingles and sounds are so nice,I got on this app to sharpen my html skills and so far I'm doing just that,very effectively I might add great work yall👍🏼"
A Google user,1,"Please let us skip lessons we know. And, please don't show ads which contain women's images. I'm a Muslim and it's haram for me."
A Google user,5,Great
A Google user,4,"Great app so far, easy to navigate through & learn. In short it's user friendly."
A Google user,5,great for learning
A Google user,5,very good for beginners :⁠^⁠)^⁠_⁠^(⁠^⁠^⁠)B⁠-⁠)8⁠-⁠):⁠-⁠P:⁠-⁠!ಡ⁠ ͜⁠ ⁠ʖ⁠ ⁠ಡᕙ⁠(⁠ ͡⁠◉⁠ ͜⁠ ⁠ʖ⁠ ͡⁠◉⁠)⁠ᕗ
A Google user,5,Such a good app for beginners and I recommend to choose this
A Google user,5,"Suddenly I know things. Claims, substantiated."
A Google user,5,It's a really great app for learning. Please work on a family package.
A Google user,5,"The best and illustrative code learning app, Recommended. Thanks for creating this app. Pls add a question sections to each training topics whereby when answering a question during practice,learners can ask questions Abt the topic and Abt anything not clear during learning. I will give more that 5stars if available.kudos"
A Google user,5,This is grat app I should recommend for learning purposes. All lessons are easily understandable and easy to use on net and offline
A Google user,5,love this app very easy to understand
A Google user,5,I think this the prefect for learning code
A Google user,1,Learning nothing
A Google user,5,very fun and simple
A Google user,5,this app is one of the best and relatable teaching softwares it will first ask you of your experience and then gives you the needed lessons
A Google user,4,I'm biggner I hope this app help me to learn coding.
A Google user,3,The idea is good the app isn't. It constantly freezes I click Start Learning or Continue and then nothing happens. I am an intermediate developer I wish I could skip all these basic html lessons which can be very boring and repetitive but there's no option to do so.
A Google user,5,Hey Mimo I am a user of this application and I want to tell you that you have been very useful for me to learn Programming. I want to learn C# also but your application has not C# learning courses. So I request you to please provide a course for C#. Thanks a lot.
A Google user,4,already file like a coder
A Google user,5,I liked it just like Duolingo like we playing game 🎯
A Google user,4,very good application
A Google user,3,It was easy to learn html
A Google user,5,It is nice and interesting way to learn coding. I am just trying it and find it quite good in first few lessons. gamification is also good.
A Google user,5,really enjoying learning python
A Google user,2,"Good app on the whole. Helps learning coding on the basic level. Though you CANNOT access projects advertised in the mobile app through web version, if you don't have a subscription. The app doesn't tell you that for some reason. Moreover, when I used a heart-refill, the app bugged-out and wouldnt let me off refill screen resulting in me losing progress in current lesson. REAL funny seeing this in app, which begs for money, promises to teach coding and simultaneously suffers such stupid bugs."
A Google user,5,best app for beginner coders
A Google user,4,Great learning app so far. Would appreciate if there allows users to skip levels by asking tests similar to Duolingo.
A Google user,2,"The app is great, but the company isn't. It’s easy to use and learn, but when I needed to use the website for a project, I found out I had to upgrade from the $60 Pro plan to Max just to proceed. I can’t even complete the program on Pro—it’s not just for advanced features. Feels like a cash grab. Canceling and finding another provider. What a shame!"
A Google user,5,"I've made it through the first module in just a couple days of ""spare time"" while accomplishing other tasks. If you're looking for a rewarding experience while learning how, when, and why to code, this may be what you're looking for."
A Google user,5,So far so good I guess literally just started
